Form,Form Name,SubManifest,HideTabularEditingControls,GroupRecordSetAddress,DataOnly,Section Name,Section Hash,Group Name,Group Hash,Group Layout,Group CSS,Group Show Title,Row,Width,Minimum Row Count,Maximum Row Count,Input Address,Input Name,Input Hash,Input Extra,Units,DataType,Decimal Precision,InputType,Equation,Equation Ordinal,Default,Description,Tooltip,Input Notes,Entity,EntityColumnFilter,EntityDestination,SingleRecord,TriggerGroup,TriggerAddress,TriggerAllInputs,MarshalEmptyValues,ChartType,ChartLabelsAddress,ChartLabelsSolver,ChartDatasetsAddress,ChartDatasetsLabel,ChartDatasetsSolvers
MathExampleForm,Math Example Form,,,,,Header,Header,General Info,General_Info,,,,1,3,,,Header.FirstName,First Name,HeaderFirstName,,,String,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Header,Header,General Info,General_Info,,,,1,3,,,Header.LastName,Last Name,HeaderLastName,,,String,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Header,Header,General Info,General_Info,,,,1,6,,,Header.JobTitle,Job Title,JobTitle,,,String,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Header,Header,General Info,General_Info,,,,2,12,,,Header.Description,Description,Description,,,String,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Header,Header,General Info,General_Info,,,,3,6,,,Header.Planet,Planet,Planet,,planetary,String,,Option,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Header,Header,General Info,General_Info,,,,3,6,,,Header.Universe,Universe,Universe,,planetary,String,,Option,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Header,Header,General Info,General_Info,,,,4,12,,,Header.WarehouseVolume,Warehouse Volume,WarehouseVolume,,,Number,,,,,50000,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,REST Request,REST_Request,Book Data,Book_Data,,,,1,6,,,BookData.CurrentIDBook,IDBook,CurrentIDBook,,,Number,,,,,,,,Book from REST request,Book,IDBook,LoadedBook,,,,,,,,,,,
MathExampleForm,,,,,,MatheMagic,MatheMagic,Math is Magic,Math_is_Magic,,,,1,1,,,HelpContent.Math,So Very Magic,MathHelpContent,,,String,,HTML,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Basic Geometry,Basic_Geometry,Rectangle,BasicGeoGrp,,,,1,6,,,Geometry.Rectangle.Width,Width,RectangleWidth,,,Number,,,RectangleArea = RectangleWidth * RectangleHeight,1,7.25,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Basic Geometry,Basic_Geometry,Rectangle,BasicGeoGrp,,,,1,6,,,Geometry.Rectangle.Height,Height,RectangleHeight,,,Number,,,RectangleAreaRoundedDefault = ROUND(RectangleWidth * RectangleHeight),1,10.3571,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Basic Geometry,Basic_Geometry,Rectangle,BasicGeoGrp,,,,2,3,,,Geometry.Rectangle.Area,Area,RectangleArea,,unrounded,Number,,,"RectangleAreaRoundedThree = ROUND((RectangleWidth * RectangleHeight), 3)",1,,Area of the Rectangle.,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Basic Geometry,Basic_Geometry,Rectangle,BasicGeoGrp,,,,2,3,,,Geometry.Rectangle.AreaRoundedDefault,Area Rounded,RectangleAreaRoundedDefault,,default,Number,,,"RectangleAreaRoundedFive = ROUND(RectangleArea, 5)",1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Basic Geometry,Basic_Geometry,Rectangle,BasicGeoGrp,,,,2,3,,,Geometry.Rectangle.AreaRoundedThree,Area Rounded 3,RectangleAreaRoundedThree,,3,Number,,,CircleArea = PI() * CircleRadius^2,1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Basic Geometry,Basic_Geometry,Rectangle,BasicGeoGrp,,,,2,3,,,Geometry.Rectangle.AreaRoundedFour,Area Rounded 5,RectangleAreaRoundedFive,,5,Number,,,CircleAreaRoundedDefault = ROUND(PI() * CircleRadius^2),1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Basic Geometry,Basic_Geometry,Circle,Circle,,,,1,12,,,Geometry.Circle.Radius,Radius,CircleRadius,,,Number,4,,"CircleAreaRoundedFour = ROUND(CircleArea,4)",1,85.523,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Basic Geometry,Basic_Geometry,Circle,Circle,,,,2,3,,,Geometry.Circle.Area,Area,CircleArea,,unrounded,Number,,,"CircleAreaRoundedSix = ROUND(PI() * CircleRadius^2,6)",1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Basic Geometry,Basic_Geometry,Circle,Circle,,,,2,3,,,Geometry.Circle.AreaRoundedDefault,Area Rounded,CircleAreaRoundedDefault,,default,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Basic Geometry,Basic_Geometry,Circle,Circle,,,,2,3,,,Geometry.Circle.AreaRoundedThree,Area Rounded 4,CircleAreaRoundedFour,,4,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Basic Geometry,Basic_Geometry,Circle,Circle,,,,2,3,,,Geometry.Circle.AreaRoundedFour,Area Rounded 6,CircleAreaRoundedSix,,6,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,BoxCollectionSecondaryTable,true,Boxes,1,Box Decoration,BoxDecroations,Box Decorations,BoxDecorationGroup,Tabular,,true,,,3,10,Boxes,Boxes,Boxes,,,Array,,,BoxFloorspace = BoxWidth * BoxDepth,1,,,,,,,,,,,,,,,,,,
MathExampleForm,,BoxCollectionSecondaryTable,,,,Box Decoration,BoxDecroations,Box Decorations,BoxDecorationGroup,Tabular,,true,1,1,,,DecorativeText,Decorative Text,DecorativeText,,,String,,,,,,,,,,,,,Box,,true,,,,,,,
MathExampleForm,,BoxCollectionSecondaryTable,,,,Box Decoration,BoxDecroations,Box Decorations,BoxDecorationGroup,Tabular,,true,1,1,,,Volume,Volume,BoxVolume,,,PreciseNumber,,DataOnly,,,,,,,,,,,Box,,true,,,,,,,
MathExampleForm,,BoxCollectionSecondaryTable,,,,Box Decoration,BoxDecroations,Box Decorations,BoxDecorationGroup,Tabular,,true,1,1,,,Identifier,Identifier,BoxIdentifier,,,String,,DataOnly,,,,,,,,,,,Box,,true,,,,,,,
MathExampleForm,,BoxCollectionData,,,,Box Collection,BoxCollSec,Boxes,BoxCollGrp,Tabular,,true,1,1,,,WarehouseSpaceLeft,Warehouse Space Left,WarehouseSpaceLeft,,,Number,,,BoxVolume = BoxFloorspace * BoxHeight,1,,,,,,,,,Box,,true,,,,,,,
MathExampleForm,,BoxCollectionData,,,,Box Collection,BoxCollSec,Boxes,BoxCollGrp,Tabular,,true,1,1,,,Volume,Volume,BoxVolume,,,Number,,,,,,,,,,,,,Box,,true,,,,,,,
MathExampleForm,,BoxCollectionData,,,,Box Collection,BoxCollSec,Boxes,BoxCollGrp,Tabular,,true,1,1,,,Floorspace,Floorspace,BoxFloorspace,,,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,BoxCollectionData,,,,Box Collection,BoxCollSec,Boxes,BoxCollGrp,Tabular,,true,1,1,,,Depth,Depth,BoxDepth,,,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,BoxCollectionData,,,,Box Collection,BoxCollSec,Boxes,BoxCollGrp,Tabular,,true,1,1,,,Height,Height,BoxHeight,,,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,BoxCollectionData,,,,Box Collection,BoxCollSec,Boxes,BoxCollGrp,Tabular,,true,1,1,,,Width,Width,BoxWidth,,,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,BoxCollectionData,,,,Box Collection,BoxCollSec,Boxes,BoxCollGrp,Tabular,,true,1,1,,,BoxCategory,Category,BoxCategory,,,String,,,,,,,,,,,,,Box,,true,,,,,,,
MathExampleForm,,BoxCollectionData,,,,Box Collection,BoxCollSec,Boxes,BoxCollGrp,Tabular,,true,1,1,,,Identifier,Identifier,BoxIdentifier,,,String,,,,,,,,,,,,,Box,,true,,,,,,,
MathExampleForm,,,,,1,Box Decoration,BoxDecroations,Box Decorations,BoxDecorationGroup,Tabular,,true,,,,,BoxDecorationSet,BoxDecorationSet,BoxDecorationSet,,,Array,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,1,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,,,,,Boxes[].Floorspace,BoxesFloorSpaceSet,BoxesFloorspaceSet,,,Object,,,BoxesCount = COUNT(BoxesFloorspaceSet),1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,1,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,,,,,Boxes[].Volume,BoxesVolumeSet,BoxesVolumeSet,,,Object,,,BoxesAverageFloorspace = AVG(BoxesFloorspaceSet),1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,1,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,,,,,Boxes[].Depth,BoxesDepthSet,BoxesDepthSet,,,Object,,,BoxesTotalFloorspace = SUM(BoxesFloorspaceSet),1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,1,12,,,BoxAggregate.Count,Box Count,BoxesCount,,,Number,,,BoxesAverageVolume = AVG(BoxesVolumeSet),1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,2,6,,,BoxAggregate.AverageFloorspace,Average Floorspace,BoxesAverageFloorspace,,,Number,,,BoxesTotalVolume = COUNT(BoxesVolumeSet),1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,2,6,,,BoxAggregate.TotalFloorspace,Total Floorspace,BoxesTotalFloorspace,,,Number,,,BoxesTotalVolumeRounded = ROUND(SUM(BoxesVolumeSet)),1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,3,4,,,BoxAggregate.AverageVolume,Average Volume,BoxesAverageVolume,,,Number,,,BoxesMinDepth = MIN(BoxesDepthSet),1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,3,4,,,BoxAggregate.TotalVolume,Total Volume,BoxesTotalVolume,,,Number,,,BoxesMeanDepth = MEAN(BoxesDepthSet),1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,3,4,,,BoxAggregate.TotalVolumeRounded,Total Volume Rounded,BoxesTotalVolumeRounded,,,Number,,,BoxesMedianDepth = MEDIAN(BoxesDepthSet),1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,4,3,,,BoxAggregate.MinDepth,Minimum Depth,BoxesMinDepth,,,Number,,,BoxesMaxDepth = MAX(BoxesDepthSet),1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,4,3,,,BoxAggregate.MeanDepth,Mean Depth,BoxesMeanDepth,,,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,4,3,,,BoxAggregate.MedianDepth,Median Depth,BoxesMedianDepth,,,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,4,3,,,BoxAggregate.MaxDepth,Max Depth,BoxesMaxDepth,,,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,5,4,,,BoxChart_Sizes,Box Category Volume Comparison,BoxChart_Sizes,,,Object,,Chart,,,,,,,,,,,,,,,pie,,"objectkeystoarray(aggregationhistogrambyobject(Boxes, ""BoxCategory"", ""Volume""))",,Box Categories,"objectvaluestoarray(aggregationhistogrambyobject(Boxes, ""BoxCategory"", ""Volume""))"
MathExampleForm,,,,,,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,5,4,,,BoxChart_Size_Details,Box Size Comparison,BoxChart_Size_Details,,,Object,,Chart,,,,,,,,,,,,,,,bar,,"objectkeystoarray(aggregationhistogrambyobject(Boxes, ""Identifier"", ""Volume""))",,Box Volumes,"objectvaluestoarray(aggregationhistogrambyobject(Boxes, ""Identifier"", ""Volume""))"
MathExampleForm,,,,,,Box Summary Data,Box_Summary_Data,Box Summary Data,Box_Summary_Data,,,,5,4,,,BoxChart_Scatter,Box Width x Height Scatter,BoxChart_Dimensions,,,Object,,Chart,,,,,,,,,,,,,,,radar,,"objectkeystoarray(aggregationhistogrambyobject(Boxes, ""Identifier"", ""Floorspace""))",,Box Floorspace Usage,"objectvaluestoarray(aggregationhistogrambyobject(Boxes, ""Identifier"", ""Floorspace""))"
MathExampleForm,,,,,,Rectangular Area Help,Rectangular_Area_Help,Rectangular Area Help,Rectangular_Area_Help,,,,1,1,,,HelpContent.Cuboid,How to Cuboid Math,CuboidHelpContent,,,String,,Markdown,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Complex Equation,Complex_Equation,Complex Equation,Complex_Equation,Vertical,,,1,4,,,ComplexEquation.PR,PR,CePR,,,Number,,,CeResult = (160 * CePR * CeZ) / (CeC / 100) * CePR * CeZ + (160 * (1 - CeC / 100)),1,4.5,,The PR is *very* important.,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Complex Equation,Complex_Equation,Complex Equation,Complex_Equation,Vertical,,,1,4,,,ComplexEquation.Z,Z,CeZ,,,Number,,,"CeResultRounded = ROUND(CeResult,3)",1,1.5,,Z _is not_ the z-index.,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Complex Equation,Complex_Equation,Complex Equation,Complex_Equation,Vertical,,,1,4,,,ComplexEquation.C,C,CeC,,,Number,,,,,8.75,,C is the universal constant.,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Complex Equation,Complex_Equation,Complex Equation,Complex_Equation,Vertical,,,2,6,,,ComplexEquation.Result,(160 * PR * Z) / (C / 100) * PR * Z + (160 * (1 - C / 100)),CeResult,,,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,Complex Equation,Complex_Equation,Complex Equation,Complex_Equation,Vertical,,,2,6,,,ComplexEquation.ResultRounded,Rounded 3,CeResultRounded,,,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,Rectangles,,Rectangle,1,Rectangle Aggregation,Rectangle_Aggregation,Rectangle Set,Rectangle_Set,Tabular,,false,,,20,,Rectangle,Rectangles,Rectangles,,,Array,,,RectangleArea = RectangleWidth * RectangleHeight,1,,,,,,,,,,,,,,,,,,
MathExampleForm,,Rectangles,,,,Rectangle Aggregation,Rectangle_Aggregation,Rectangle Set,Rectangle_Set,Tabular,,false,1,1,,,AreaDegredation,Degredation (first minus each subsequent),AreaDegredation,,,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,Rectangles,,,,Rectangle Aggregation,Rectangle_Aggregation,Rectangle Set,Rectangle_Set,Tabular,,false,1,1,,,Area,Area,RectangleArea,,,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,Rectangles,,,,Rectangle Aggregation,Rectangle_Aggregation,Rectangle Set,Rectangle_Set,Tabular,,false,1,1,,,Height,Height,RectangleHeight,,meters,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,Rectangles,,,,Rectangle Aggregation,Rectangle_Aggregation,Rectangle Set,Rectangle_Set,Tabular,,false,1,1,,,Width,Width,RectangleWidth,,meters,Number,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,Rectangles,,,,Rectangle Aggregation,Rectangle_Aggregation,Rectangle Set,Rectangle_Set,Tabular,,false,1,1,,,Identifier,Identifier,RectangleIdentifier,,,String,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,Cylinders,,Cylinders,1,Cylinders,Cylinders,Cylinders,Cylinders,Tabular,,false,,,,,Cylinders,Cylinders,Cylinders,,,Array,,,Circumference = 2 * PI() * Radius,1,,,,,,,,,,,,,,,,,,
MathExampleForm,,Cylinders,,,,Cylinders,Cylinders,Cylinders,Cylinders,Tabular,,false,1,1,,,Area,Area,Area,,,PreciseNumber,,,Area = (2 * PI() * Radius * Height) + (2 * PI() * Radius ^2),1,,,,,,,,,,,,,,,,,,
MathExampleForm,,Cylinders,,,,Cylinders,Cylinders,Cylinders,Cylinders,Tabular,,false,1,1,,,Circumference,Circumference,Circumference,,,PreciseNumber,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,Cylinders,,,,Cylinders,Cylinders,Cylinders,Cylinders,Tabular,,false,1,1,,,Height,Height,Height,,,PreciseNumber,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,Cylinders,,,,Cylinders,Cylinders,Cylinders,Cylinders,Tabular,,false,1,1,,,Radius,Radius,Radius,,,PreciseNumber,2,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,Cylinders,,,,Cylinders,Cylinders,Cylinders,Cylinders,Tabular,,false,1,1,,,Identifier,Identifier,Identifier,,,String,,,,,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,List Topia,Listopia,Occlusion Lists,OcclusionLists,,CustomCSSClass,,1,1,,,Listopia.Filters.Colour,Color Filter,ColourFilter,,,String,,,"SUBTRACTINGSUMMATION(Rectangles, ""Area"", ""AreaDegredation"")",1,,,,,,,,,,,,,,,,,,
MathExampleForm,,,,,,List Topia,Listopia,Occlusion Lists,OcclusionLists,,CustomCSSClass,,2,1,,,Listopia.Color,Color,Colors,"Red^The Deepest Red,Green^A Challenging Green,Blue^Corporate Blue,Orange^Almost Brown Orange,Yellow^Not a Weak Bellied Yellow,Other^Other",,String,,Option,,,,,,,,,,,AutoTriggerGroup-FruitSelection-Colors.csv,,true,,,,,,,
MathExampleForm,,,,,,List Topia,Listopia,Occlusion Lists,OcclusionLists,,CustomCSSClass,,2,1,,,Listopia.Box,Box,BoxSelection,,,String,,Option,,,,,,,,,,,Box,,,,,,,,,
MathExampleForm,,,,,,List Topia,Listopia,Occlusion Lists,OcclusionLists,,CustomCSSClass,,3,1,,,Listopia.Fruit,Fruit,FruitSelection,"Apple^The Apple,Kiwi^Kiwi,Tangerine^A Soft Tangerine,Orange^Orange Crush,Watermelon^The Wateriest Melon,Tomato^An Heirloom of Rapid Descent",,String,,Option,,,,,,,,,,,AutoTriggerGroup-FruitSelection-Colors.csv,,true,,,,,,,
MathExampleForm,,,,,,List Topia,Listopia,Occlusion Lists,OcclusionLists,,CustomCSSClass,,3,1,,,Listopia.Stone,Stone,Stones,"Small^The Small Type Seed,Large^A Very Big Seed,None^No Seeds to Speak Of",,String,,Option,,,,,,,,,,,AutoTriggerGroup-FruitSelection-Stones.csv,,true,,,,,,,